tid,views,replies
202672,357,38
202673,176,1
202653,580,9
202674,146,2
202675,231,2
202676,232,2
202677,303,1
202678,1476,5
202679,102,3
202680,169,2
202681,272,25
202682,127,2
202683,320,31
202684,307,5
202685,168,10
282160,694,1
202686,289,5
202687,457,49
202688,147,7
202690,216,10
202689,450,15
202691,276,4
202692,892,15
202694,266,14
202696,3604,17
202697,122,2
202702,163,6
202705,177,2
202707,155,7
202706,319,5
202709,275,2
202712,184,6
202713,542,12
202714,338,3
202716,264,1
202717,549,7
202718,1068,17
202720,983,4
202721,1026,74
202722,255,8
202723,7404,44
202724,345,3
202726,1677,27
202729,209,26
202738,622,3
202766,247,3
202776,301,3
202779,278,19
202782,451,36
202783,215,4
202785,433,2
202790,578,1
202794,183,2
202797,220,7
202802,901,5
202803,244,2
202806,161,2
202807,249,1
202809,108,2
202811,346,49
202813,160,8
202815,6027,2
202816,486,9
202821,104,2
202824,603,4
202827,1524,16
202830,127,6
202832,677,4
202834,426,4
202841,1479,22
202843,182,2
202844,296,3
202848,376,4
202849,268,13
202850,150,10
202855,526,2
202857,197,18
202863,154,9
202864,110,14
202865,271,37
202866,629,3
202870,412,1
202878,263,7
202879,348,4
202881,102,3
202883,287,1
202886,105,2
202887,172,4
202888,715,57
202890,133,5
202891,220,5
202892,333,5
202893,160,5
202895,124,1
202896,111,2
202898,107,2
202900,109,2
202901,176,2
202903,317,3
202904,233,1
202905,241,1
202906,423,2
202907,107,2
202908,152,4
202909,302,2
202911,114,7
202912,255,1
202914,117,1
202915,191,3
202916,867,77
202917,151,7
202918,454,33
202919,743,62
202920,215,21
202921,368,28
202922,195,12
202923,460,39
202924,787,59
202929,107,1
202930,2489,301
202935,105,1
202946,203,7
202947,231,2
202951,191,4
202952,1475,16
202957,168,3
202959,104,3
202964,106,2
202970,126,4
202973,610,2
202974,124,2
202975,239,2
202976,858,29
202978,311,4
202979,142,6
202982,302,8
202983,114,3
202985,129,6
202989,126,2
202990,261,3
202991,3167,39
202992,394,10
202994,123,1
202998,521,9
203000,132,2
