tid,views,replies
207582,72932,5087
298164,51140,3706
213587,8456,2347
207602,47551,2278
213560,7995,2213
213586,8377,2212
213566,8292,2166
266364,13894,2077
213569,8411,2046
242299,10915,2034
213559,8650,2033
213558,8488,1939
213564,7659,1925
213570,8242,1906
213575,6665,1785
213578,7088,1784
213580,6879,1784
213568,7196,1718
213572,6239,1663
227507,65910,1567
213584,13008,1338
213589,5750,1298
242304,52953,1259
239987,8308,1223
266553,54207,1186
229357,5938,1046
274874,8334,965
277060,52352,872
203507,69347,843
210781,64063,806
256002,6636,799
213585,5680,734
213926,7316,720
275718,6751,699
298578,4933,663
220426,5662,625
286432,67320,622
266890,39297,602
243298,14377,570
274879,58427,566
274816,73404,534
239843,55517,525
275067,6786,520
230181,2640,506
300747,3815,449
220742,20336,438
289122,8243,432
261669,41870,432
271677,40150,428
222685,76371,419
259361,32823,390
292639,35634,377
223183,3771,360
234684,50278,352
220788,4952,346
225267,8184,340
217253,30073,339
203533,6094,320
251798,27431,318
226207,4772,307
219612,20329,305
202930,2489,301
279102,8688,297
244680,1941,283
204917,34247,281
218072,2526,277
213588,3380,276
234947,4378,273
229330,1370,258
217639,2792,255
208664,4009,254
248007,3321,254
279019,39842,253
274875,49050,252
244283,1694,251
250442,3919,244
224902,6595,244
298921,5832,243
255660,3488,239
229613,1630,236
260334,3898,230
297917,14529,227
257727,31312,222
234719,5582,220
228888,1697,217
268523,3527,215
288135,2388,214
218644,3450,213
203519,4660,212
253285,2874,211
217440,1808,209
228057,1412,205
251009,2676,205
245539,21269,204
234943,3249,198
230985,3398,198
218309,1614,196
216067,3290,195
246392,1495,191
253874,62068,190
242544,3768,189
211449,3546,185
203544,4063,184
271634,9459,181
235378,2904,178
250892,19071,178
220747,1401,177
244088,7668,171
244563,2937,170
219061,1252,170
250820,9013,170
247969,3058,169
244704,3374,166
246750,2908,163
228620,4411,163
250823,2796,163
206853,11268,162
208428,1479,162
229428,1474,162
267219,2316,162
219780,2778,162
204606,14435,161
243859,6137,160
271037,37216,160
240654,1526,159
225281,3394,159
225192,5583,158
255657,2798,157
258546,32181,157
217488,1343,157
257531,4740,157
287846,2362,156
234466,2592,156
245595,2782,156
251836,3297,153
223012,5833,152
208887,15125,151
205215,9232,149
219259,1280,149
219257,1565,148
203551,3837,147
227475,2712,147
255883,4016,147
238014,3207,147
218470,1512,147
203514,4800,146
207791,2650,145
208503,2542,145
222874,1442,144
207691,1540,143
219734,1651,143
221204,1408,142
248669,2364,142
235350,41949,142
227106,1932,141
214217,14262,141
243319,1440,140
245175,1238,140
217655,2061,139
240003,1611,139
297450,4438,138
221027,1639,138
221161,2282,135
249165,1718,134
216910,3673,134
226422,6849,134
235164,1450,133
240343,26148,133
237400,5289,133
244173,1015,132
208841,1540,132
243271,3045,132
206857,2810,131
208443,4978,131
288141,38801,131
248851,1057,130
246697,2448,129
228673,1660,128
256000,2311,128
245085,2266,127
255276,10283,127
204765,1723,126
300884,2429,126
239599,2065,125
303454,29608,125
251109,1846,125
252534,24085,124
215935,6289,124
224462,3798,124
240029,4572,123
255877,3078,123
234180,2580,123
237868,2088,122
243915,1134,122
222265,1426,122
237959,28155,122
203512,51202,121
244177,1088,121
242280,4062,121
301715,1262,121
235163,3898,120
221355,1209,120
246119,2795,120
205070,1453,119
261048,9684,119
220473,1475,119
257232,50663,118
246035,34787,118
206501,2101,117
250464,5251,117
243849,1564,117
214974,3943,117
219231,13364,117
248530,2685,117
226102,3436,117
261993,2414,116
245080,2254,115
291198,1557,115
222540,1410,115
213502,35249,114
276931,2493,113
251206,2103,112
206331,1826,112
213072,2438,111
248297,1938,111
217143,2243,111
242573,12518,110
240030,1326,110
247814,1167,110
219591,3782,110
225280,1560,110
247842,2091,109
247569,23905,108
242105,1009,108
229570,9837,107
271496,5824,107
203460,4845,106
227067,42301,106
278568,1270,106
211922,46296,106
225501,31671,106
285815,2324,106
228640,3387,105
244816,2232,105
251689,1846,105
288746,1808,104
275691,13094,104
205789,4283,103
305816,27580,103
214750,28302,103
284587,55540,102
234673,22992,102
269956,1066,102
268414,6240,102
220858,1386,102
235019,1828,102
253438,25524,102
256540,2586,100
217377,3754,100
263594,2115,100
224502,2411,100
203603,2661,99
221360,14875,99
224946,2445,99
253784,2310,98
237330,7881,98
232904,27978,98
248737,3937,98
275384,1744,98
220346,25902,98
224524,1745,98
300746,1819,97
242281,2918,97
268035,1109,97
292632,1798,97
300209,1263,96
237597,8045,96
244823,2066,96
210721,4261,96
297672,2127,96
253701,1856,96
222422,2120,96
234691,1686,95
227840,3645,95
248226,2045,95
271583,63962,95
297564,1108,95
248988,1194,94
216598,2467,94
217145,1439,94
266884,1886,94
214390,3740,93
215931,2141,93
298593,38007,93
251797,2361,93
234940,2841,93
264100,1878,92
248857,2746,92
245918,2294,92
301752,2722,92
219745,16114,91
204132,2980,90
264789,1293,90
207577,25392,90
251031,2062,90
212828,2676,90
252834,11207,89
277277,2172,89
231304,2990,89
238000,2392,89
203258,3528,88
210244,3714,88
212552,5321,88
272776,1586,88
219980,1332,88
226271,2953,88
287112,2765,87
230618,1016,87
304899,3224,87
217133,2405,87
203510,3317,86
250964,1697,86
246684,3761,86
229480,1559,86
255135,2461,85
207045,10976,85
211064,1369,85
230548,20148,85
227441,1980,85
203393,1218,84
263672,8402,84
284659,37076,84
204060,1208,84
208675,9883,84
282789,27571,84
250957,2567,84
229079,43140,84
206637,2520,83
271584,1889,83
213889,2017,83
255132,23757,82
268923,1158,82
243897,26833,82
291516,1179,82
243304,1947,82
211459,6934,81
299716,1020,81
264141,3230,81
269483,2964,81
245522,1837,80
255869,3434,80
238286,2379,80
255866,2500,80
304323,3494,80
245590,1067,80
284325,2146,80
253787,1599,80
254373,1845,80
249032,2239,80
298798,2175,79
213214,1644,79
263876,29275,79
270955,1355,79
217002,2162,79
250552,46163,79
221261,2011,79
223205,1496,79
195322,2863,78
205821,2845,78
258862,2048,78
273129,1659,78
214984,2249,78
299093,2484,78
253875,4334,78
235312,1012,78
235777,2214,77
259692,2213,77
208632,4430,77
302794,2232,77
219223,7478,77
286924,12311,77
277103,3845,77
243278,2226,77
250883,2210,76
297150,1209,76
216547,2729,76
223788,1851,76
223977,29416,76
249029,1990,76
240578,1939,76
239984,2314,76
226640,9061,76
246738,2043,76
256553,2185,75
227039,2953,75
211016,4705,75
300748,1337,75
227601,2202,75
245900,1635,75
202721,1026,74
237706,1165,74
251334,1371,74
223111,2900,74
245883,1457,73
228665,3709,73
252877,3466,73
213484,15472,73
218282,1044,73
231662,7209,73
248367,1399,73
273140,74906,73
259685,1513,73
248770,2154,73
246445,1387,73
234933,4806,72
240347,2121,72
223705,1528,72
274474,2125,71
298517,5535,71
300224,15608,71
257074,6462,71
203609,2096,70
254599,1198,70
273097,11453,70
232740,2568,70
239744,1516,70
251116,1604,70
242458,1337,70
270933,39654,70
251828,3821,70
250579,1167,70
237591,1190,70
225266,5159,70
298200,35022,69
204056,2961,69
207495,1190,69
249461,1559,69
240292,2985,69
253657,24538,69
257187,2386,69
243958,1050,69
253846,38772,69
242146,1260,69
244102,1889,69
258864,1800,69
220673,1282,69
222338,2061,69
286425,1052,68
239819,2048,68
277270,1013,68
210946,2734,68
239412,3794,68
213046,1911,68
239286,1491,68
219710,6867,68
203565,6438,67
203908,1278,67
252006,2050,67
257022,21552,67
219275,1113,67
249042,1983,67
265246,1026,67
246711,1554,67
292262,1112,66
254499,1634,66
272681,2316,66
235664,3235,66
239983,26701,66
244371,2142,66
297743,1423,66
215273,3535,66
217005,3449,66
255865,3003,66
224237,1269,66
225303,2203,66
305614,1881,65
253264,3690,65
228234,2131,65
256870,1581,65
243979,1356,65
222691,2656,65
253291,1235,65
242517,2008,64
242526,1468,64
248618,1741,64
268679,1680,64
228804,1358,64
276044,52411,64
238003,3423,64
230402,1404,64
252468,1717,64
222185,3711,64
242012,1093,64
239844,8654,64
237408,1708,63
203466,1072,63
266589,1184,63
228203,2080,63
248750,3360,63
237988,1858,63
301244,1229,63
213611,3767,63
214325,2373,63
215055,7162,63
239421,1223,63
252517,2052,63
222564,1375,63
223665,1336,63
296825,1736,62
252282,23026,62
252646,1735,62
235286,2172,62
268615,2921,62
217486,2351,62
249873,3818,62
303642,1814,62
292110,2173,62
238046,17734,62
227678,2997,61
204664,1539,61
208315,1536,61
250026,5747,61
272024,1909,61
234937,48529,61
221483,3141,61
225022,1194,61
226053,1856,61
253805,2547,60
272847,1267,60
212767,3024,60
213013,1235,60
215823,4113,60
277684,1665,60
219540,3212,60
241788,1763,60
223266,2174,60
294764,1829,60
250775,1232,59
305368,1476,59
207515,2017,59
208347,1934,59
275066,6292,59
215967,1935,59
299604,1710,59
254357,1191,59
250833,5855,59
232973,10387,58
254714,7116,58
208374,1104,58
294781,1437,58
268299,1013,58
218641,2238,58
222698,1851,58
253242,2068,58
224513,3156,58
302528,4646,58
229818,1183,58
244588,7726,57
236984,1853,57
256960,1602,57
254800,2978,57
256551,2068,57
217151,2135,57
269893,1202,57
223702,1267,57
225428,6807,57
291178,2037,57
286473,2008,56
298583,1510,56
243844,1679,56
250084,1077,56
240387,1855,56
297226,1256,56
263145,1822,56
213853,3418,56
304735,1141,56
220239,3692,56
220866,1030,56
222077,1001,56
257690,1764,56
235562,1674,56
300750,2227,55
207752,2040,55
247149,1272,55
224108,1227,55
254696,1692,54
285559,26796,54
237069,4153,54
232416,1432,54
214049,2082,54
288750,1601,54
215039,1103,54
251204,1433,54
217015,1496,54
257200,2431,54
221444,18755,54
269103,1465,54
226454,4581,54
